index;ch_name
0;DAPI_1
4;DAPI_2
8;DAPI_3
12;DAPI_4
16;DAPI_5
20;DAPI_6
24;DAPI_7
28;DAPI_8
32;DAPI_9
36;DAPI_10
40;DAPI_11
44;DAPI_12
48;DAPI_13
52;DAPI_14
56;DAPI_15
60;DAPI_16
64;DAPI_17
68;DAPI_18
72;DAPI_19
76;DAPI_20
80;DAPI_21
84;DAPI_22
88;DAPI_23
92;DAPI_24
96;DAPI_25
100;DAPI_26
104;DAPI_27
108;DAPI_28
112;DAPI_29
116;DAPI_30
120;DAPI_31
124;DAPI_32
128;DAPI_33
132;DAPI_34
136;DAPI_35
140;DAPI_36
144;DAPI_37
148;DAPI_38
152;DAPI_39
156;DAPI_40
160;DAPI_41
164;DAPI_42
168;DAPI_43
172;DAPI_44
176;DAPI_45
180;DAPI_46
184;DAPI_47
188;DAPI_48
192;DAPI_49
